A,B
Quote,Author
"""Some people feel the rain. Others just get wet.""",Bob Marley
"""You can’t calm the storm, so stop trying. What you can do is calm yourself. """The storm will pass.,Timber Hawkeye

You can't get mad at weather because weather's not about you. Apply that lesson to most other aspects of life.,Douglas Coupland
"Climate is what we expect, weather is what we get.",Mark Twain
"If you want to see the sunshine, you have to weather the storm.",Frank Lane
"Whether you think you can, or you think you can't—you're right.","Henry Ford"
"Simplicity is the soul of efficiency.","Austin Freeman"
"The code you write makes you a programmer. The code you delete makes you a good one.","Mario Fusco"
"First solve the problem, then write the code.","John Johnson"
"Experience is the name everyone gives to their mistakes.","Oscar Wilde"
"""A change in the weather is sufficient to recreate the world and ourselves.""",Marcel Proust
"""Wherever you go, no matter what the weather, always bring your own sunshine.""",Anthony J. D'Angelo
"""Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather.""",John Ruskin